"species";"lon";"lat";"municipality";"adm1"
"Justicia triloba";-44,013056;-17,918611;"Buenópolis";"Minas Gerais"
"Justicia triloba";-42,235833;-8,461944;"São João do Piauí";"Piauí"
"Justicia triloba";-41,195556;-3,870278;"Tianguá";"Ceará"
"Justicia triloba";-40,306111;-3,616944;"Sobral";"Ceará"
"Justicia triloba";-40,306111;-3,616944;"Sobral";"Ceará"
"Justicia triloba";-40,306111;-3,616944;"Sobral";"Ceará"
"Justicia triloba";-40,306111;-3,616944;"Sobral";"Ceará"
"Justicia triloba";-40,322222;-6,73;"Aiuaba";"Ceará"
"Justicia triloba";-40,324722;-6,732222;"Aiuaba";"Ceará"
"Justicia triloba";-40,321944;-6,73;"Aiuaba";"Ceará"
"Justicia triloba";-40,905278;-3,798056;"Ubajara";"Ceará"
"Justicia triloba";-43,366389;-10,680278;"Barra";"Bahia"
"Justicia triloba";-43,366417;-10,680167;"Barra";"Bahia"
"Justicia triloba";-43,0225;-14,218333;"Caetité";"Bahia"
"Justicia triloba";-37,405;-5,053889;"Mossoró";"Rio Grande do Norte"
"Justicia triloba";-44,003333;-12,225;"WANDERLEY";"Bahia"
"Justicia triloba";-44,003333;-12,225;"WANDERLEY";"Ba"
"Justicia triloba";-44,003333;-12,225;"Wanderley";"Bahia"
"Justicia triloba";-40,120833;-6,600278;"Aiuaba";"Ceará"
"Justicia triloba";-40,120833;-6,600278;"Aiuaba";"Ceará"
"Justicia triloba";-40,120833;-6,600278;"Aiuaba";"Ceará"
"Justicia triloba";-41,401944;-3,539167;"Cocal";"Piauí"
"Justicia triloba";-41,371667;-3,559444;"Cocal";"Piauí"
"Justicia triloba";-41,401944;-3,539167;"Cocal";"Piauí"
"Justicia triloba";-40,116667;-6,633333;"Aiuaba";"Ceará"
"Justicia triloba";-40,11667;-6,63333;"Aiuaba";"Ceará"
"Justicia triloba";-41,39;-10,281111;"Sento Sé";"Bahia"
"Justicia triloba";-58,39;-13,281111;"Sento Sé";"Bahia"
"Justicia triloba";-41,39;-10,281111;"Sento-Sé";"Bahia"
"Justicia triloba";-40,378361;-6,730806;"Aiuaba";"Ceará"
"Justicia triloba";-40,3825;-6,723333;"Aiuaba";"Ceará"
