scientificName
Anisacanthus trilobus
Clistax speciosus
Dicliptera ciliaris
Dicliptera mucronifolia
Dyschoriste maranhonis
Elytraria imbricata
Harpochilus neesianus
Herpetacanthus magnobracteolatus
Hygrophila guianensis
Hygrophila sessilifolia
Justicia aequilabris
Justicia cuneifolia
Justicia harleyi
Justicia laevilinguis
Justicia lepida
Justicia schomburgkiana
Justicia simonisia
Justicia thunbergioides
Poikilacanthus bahiensis
Pseuderanthemum modestum
Ruellia asperula
Ruellia bahiensis
Ruellia cearensis
Ruellia diffusa
Ruellia geminiflora
Ruellia ochroleuca
Ruellia paniculata
Ruellia villosa
Schaueria humuliflora
Thyrsacanthus microphyllus
Thyrsacanthus ramosissimus
Lindackeria ovata
Sesuvium portulacastrum
Echinodorus glandulosus
Echinodorus grandiflorus
Echinodorus palaefolius
Echinodorus subalatus
Alstroemeria longistaminea
Alstroemeria piauhyensis
Bomarea edulis
Achyranthes aspera
Alternanthera aquatica
Alternanthera bahiensis
Alternanthera bettzichiana
Alternanthera brasiliana
Alternanthera dendrotricha
Alternanthera dentata
Alternanthera flavida
Alternanthera multicaulis
Alternanthera pungens
Alternanthera sessilis
Alternanthera tenella
Alternanthera tetramera
Alternanthera villosa
Amaranthus bahiensis
Chamissoa acuminata
Chamissoa altissima
Cyathula achyranthoides
Froelichia humboldtiana
Froelichia interrupta
Gomphrena agrestis
Gomphrena basilanata
Gomphrena celosioides
Gomphrena claussenii
Gomphrena debilis
Gomphrena demissa
Gomphrena desertorum
Gomphrena elegans
Gomphrena gardnerii
Gomphrena leucocephala
Gomphrena microcephala
Gomphrena mollis
Gomphrena prostrata
Gomphrena pulvinata
Gomphrena rupestris
Gomphrena serturneroides
Gomphrena vaga
Gomphrena virgata
Iresine diffusa
Pfaffia acutifolia
Pfaffia glomerata
Pfaffia tuberculosa
Quaternella ephedroides
Xerosiphon angustiflorus
Xerosiphon aphyllus
Cearanthes fuscoviolacea
Griffinia gardneriana
Habranthus sylvaticus
Hippeastrum araripinum
Hippeastrum elegans
Hippeastrum glaucescens
Hippeastrum puniceum
Hippeastrum stylosum
Nothoscordum bahiense
Nothoscordum pernambucanum
Nothoscordum pulchellum
Zephyranthes cearensis
Anacardium occidentale
Apterokarpos gardneri
Astronium fraxinifolium
Astronium graveolens
Cyrtocarpa caatingae
Myracrodruon urundeuva
Schinopsis brasiliensis
Schinus terebinthifolia
Spondias bahiensis
Spondias mombin
Spondias tuberosa
Spondias venulosa
Tapirira guianensis
Annona leptopetala
Annona saffordiana
Annona spinescens
Annona sylvatica
Annona vepretorum
Duguetia dicholepidota
Duguetia furfuracea
Duguetia riedeliana
Ephedranthus pisocarpus
Guatteria campestris
Guatteria pohliana
Guatteria rupestris
Hornschuchia alba
Oxandra reticulata
Oxandra sessiliflora
Xylopia aromatica
Xylopia laevigata
Xylopia sericea
Spananthe paniculata
Allamanda blanchetii
Allamanda doniana
Allamanda laevis
Allamanda puberula
Asclepias curassavica
Aspidosperma cuspa
Aspidosperma cylindrocarpon
Aspidosperma discolor
Aspidosperma multiflorum
Aspidosperma parvifolium
Aspidosperma polyneuron
Aspidosperma pyricollum
Aspidosperma pyrifolium
Aspidosperma ramiflorum
Aspidosperma riedelii
Aspidosperma subincanum
Blepharodon bicolor
Blepharodon manicatum
Blepharodon pictum
Cynanchum montevidense
Cynanchum roulinioides
Ditassa capillaris
Ditassa dardanoi
Ditassa dolichoglossa
Ditassa glazioui
Ditassa hastata
Ditassa hispida
Ditassa oxyphylla
Ditassa pohliana
Ditassa retusa
Forsteronia glabrescens
Forsteronia pubescens
Funastrum clausum
Himatanthus drasticus
Himatanthus obovatus
Mandevilla alexicaca
Mandevilla catimbauensis
Mandevilla dardanoi
Mandevilla funiformis
Mandevilla hatschbachii
Mandevilla hirsuta
Mandevilla leptophylla
Mandevilla microphylla
Mandevilla moricandiana
Mandevilla pohliana
Mandevilla sancta
Mandevilla scabra
Mandevilla tenuifolia
Marsdenia altissima
Marsdenia breviramosa
Marsdenia caatingae
Marsdenia heringeri
Marsdenia loniceroides
Marsdenia megalantha
Marsdenia nana
Marsdenia pickelii
Marsdenia queirozii
Marsdenia sessilifolia
Marsdenia suberosa
Marsdenia ulei
Marsdenia zehntneri
Matelea endressiae
Matelea ganglinosa
Matelea harleyi
Matelea maritima
Matelea morilloana
Matelea nigra
Matelea roulinioides
Oxypetalum arachnoideum
Oxypetalum erostre
Oxypetalum harleyi
Petalostelma cearense
Petalostelma dardanoi
Petalostelma martianum
Prestonia bahiensis
Prestonia coalita
Rauvolfia paucifolia
Schubertia grandiflora
Schubertia hatschbachii
Schubertia morilloana
Schubertia multiflora
Secondatia densiflora
Secondatia floribunda
Skytanthus hancorniifolius
Stipecoma peltigera
Tabernaemontana catharinensis
Tabernaemontana hystrix
Tabernaemontana solanifolia
Tassadia burchellii
Temnadenia violacea
Pilostyles blanchetii
Ilex affinis
Ilex dumosa
Ilex paraguariensis
Anthurium affine
Anthurium bromelicola
Anthurium gracile
Anthurium jilekii
Anthurium petrophilum
Anthurium scandens
Caladium bicolor
Lemna aequinoctialis
Lemna valdiviana
Monstera adansonii
Philodendron acutatum
Philodendron bipinnatifidum
Philodendron leal-costae
Philodendron wullschlaegelii
Pistia stratiotes
Rhodospatha latifolia
Rhodospatha oblongata
Scaphispatha gracilis
Spathicarpa gardneri
Spathicarpa hastifolia
Spathicarpa sagittifolia
Taccarum peregrinum
Taccarum ulei
Wolffia brasiliensis
Wolffia columbiana
Wolffiella lingulata
Wolffiella welwitschii
Xanthosoma pentaphyllum
Zomicarpa pythonium
Aralia bahiana
Aralia excelsa
Aralia warmingiana
Dendropanax cuneatus
Schefflera morototoni
Acrocomia aculeata
Allagoptera brevicalyx
Astrocaryum vulgare
Attalea pindobassu
Attalea seabrensis
Copernicia prunifera
Syagrus coronata
Syagrus flexuosa
Syagrus microphylla
Syagrus oleracea
Syagrus vagans
Syagrus werdermannii
Aristolochia birostris
Aristolochia eriantha
Aristolochia gigantea
Aristolochia labiata
Aristolochia sepicola
Aristolochia setulosa
Herreria glaziovii
Herreria salsaparilha
Acanthospermum hispidum
Achyrocline satureioides
Acmella uliginosa
Acritopappus buiquensis
Acritopappus teixeirae
Ageratum conyzoides
Albertinia brasiliensis
Ambrosia elatior
Ambrosia polystachya
Aspilia attenuata
Aspilia bonplandiana
Aspilia floribunda
Austroeupatorium inulaefolium
Ayapana amygdalina
Ayapanopsis oblongifolia
Baccharis cinerea
Baccharis linearifolia
Baccharis oxyodonta
Baccharis serrulata
Baccharis trinervis
Baltimora geminata
Bejaranoa semistriata
Blainvillea acmella
Blainvillea dichotoma
Blanchetia coronata
Blanchetia heterotricha
Caatinganthus harleyi
Caatinganthus rubropappus
Calea harleyi
Calea morii
Calea pilosa
Calea pinheiroi
Campuloclinium arenarium
Campuloclinium macrocephalum
Centratherum punctatum
Chaptalia nutans
Chresta harleyi
Chresta hatschbachii
Chresta martii
Chresta pacourinoides
Chromolaena squalida
Conocliniopsis prasiifolia
Conyza bonariensis
Cyrtocymura harleyi
Cyrtocymura scorpioides
Dasyphyllum brasiliense
Dasyphyllum donianum
Dasyphyllum sprengelianum
Delilia biflora
Dissothrix imbricata
Eclipta prostrata
Egletes viscosa
Elephantopus mollis
Elephantopus riparius
Emilia fosbergii
Emilia sonchifolia
Enydra radicans
Erechtites hieracifolius
Eremanthus arboreus
Eremanthus capitatus
Eremanthus incanus
Flaveria bidentis
Flaveria trinervia
Fleischmannia prasiifolia
Galinsoga parviflora
Gamochaeta americana
Gorceixia decurrens
Helichrysum indicum
Heterocondylus alatus
Ichthyothere terminalis
Isocarpha megacephala
Jaegeria hirta
Koanophyllon conglobatum
Lagascea mollis
Lepidaploa arenaria
Lepidaploa chalybaea
Lepidaploa cotoneaster
Lepidaploa grisea
Lepidaploa lilacina
Lepidaploa luetzelburgii
Lepidaploa mucronifolia
Lepidaploa nitens
Lepidaploa remotiflora
Lessingianthus ammophilus
Lessingianthus morii
Lessingianthus obscurus
Lessingianthus rugulosus
Lessingianthus varroniifolius
Mattfeldanthus andrade-limae
Melanthera latifolia
Mikania alvimii
Mikania grazielae
Mikania hagei
Mikania hemisphaerica
Mikania micrantha
Mikania morii
Mikania obovata
Mikania reynoldsii
Mikania sessilifolia
Mikania trichophila
Moquiniastrum blanchetianum
Moquiniastrum oligocephalum
Ophryosporus freyreysii
Pectis brevipedunculata
Pectis congesta
Pectis decumbens
Pectis elongata
Pectis linifolia
Pectis oligocephala
Piqueriella brasiliensis
Platypodanthera melissifolia
Porophyllum ruderale
Praxelis clematidea
Praxelis sanctopaulensis
Raulinoreitzia tremula
Santosia talmonii
Simsia dombeyana
Solidago chilensis
Sonchus oleraceus
Stilpnopappus pratensis
Stilpnopappus trichospiroides
Stylotrichium rotundifolium
Symphyopappus compressus
Synedrella nodiflora
Telmatophila scolymastrum
Trichogonia campestris
Trichogonia eupatorioides
Trichogonia heringeri
Trichogonia salviifolia
Trichogoniopsis podocarpa
Tridax procumbens
Trixis vauthieri
Verbesina macrophylla
Vernonanthura brasiliana
Wedelia bahiensis
Wedelia goyazensis
Wedelia hookeriana
Wedelia villosa
Wunderlichia azulensis
Wunderlichia cruelsiana
Wunderlichia mirabilis
Langsdorffia hypogaea
Lophophytum mirabile
Begonia fischeri
Begonia larorum
Begonia lealii
Begonia reniformis
Begonia ruhlandiana
Begonia saxicola
Begonia ulmifolia
Adenocalymma apparicianum
Adenocalymma axillare
Adenocalymma comosum
Adenocalymma cristacalyx
Adenocalymma cymbalum
Adenocalymma dichilum
Adenocalymma divaricatum
Adenocalymma fruticosum
Adenocalymma imperatoris-maximilianii
Adenocalymma involucratum
Adenocalymma marginatum
Adenocalymma pubescens
Adenocalymma purpurascens
Adenocalymma scabriusculum
Adenocalymma subspicatum
Adenocalymma trichocladum
Adenocalymma trifoliatum
Amphilophium crucigerum
Amphilophium paniculatum
Amphilophium perbracteatum
Anemopaegma acutifolium
Anemopaegma album
Anemopaegma chamberlaynii
Anemopaegma citrinum
Anemopaegma goyazense
Anemopaegma laeve
Anemopaegma mirabile
Anemopaegma velutinum
Bignonia binata
Bignonia ramentacea
Bignonia sciuripabulum
Cuspidaria argentea
Cuspidaria cratensis
Cuspidaria floribunda
Cuspidaria lachnaea
Cuspidaria lateriflora
Cuspidaria multiflora
Cuspidaria octoptera
Cuspidaria simplicifolia
Cybistax antisyphilitica
Dolichandra quadrivalvis
Dolichandra unguis-cati
Fridericia bahiensis
Fridericia candicans
Fridericia caudigera
Fridericia chica
Fridericia cinerea
Fridericia conjugata
Fridericia corchoroides
Fridericia crassa
Fridericia craterophora
Fridericia cuneifolia
Fridericia dichotoma
Fridericia dispar
Fridericia erubescens
Fridericia limae
Fridericia paradoxa
Fridericia parviflora
Fridericia platyphylla
Fridericia pliciflora
Fridericia pubescens
Fridericia rego
Fridericia speciosa
Fridericia subverticillata
Godmania dardanoi
Handroanthus chrysotrichus
Handroanthus diamantinensis
Handroanthus grandiflorus
Handroanthus heptaphyllus
Handroanthus impetiginosus
Handroanthus ochraceus
Handroanthus selachidentatus
Handroanthus serratifolius
Handroanthus spongiosus
Jacaranda brasiliana
Jacaranda grandifoliolata
Jacaranda irwinii
Jacaranda jasminoides
Jacaranda praetermissa
Jacaranda rugosa
Lundia gardneri
Mansoa angustidens
Mansoa difficilis
Mansoa hirsuta
Mansoa ivanii
Mansoa longicalyx
Mansoa paganuccii
Neojobertia candolleana
Neojobertia mirabilis
Pleonotoma castelnaei
Pyrostegia venusta
Sparattosperma catingae
Sparattosperma leucanthum
Stizophyllum perforatum
Stizophyllum riparium
Tabebuia aurea
Tabebuia reticulata
Tabebuia roseoalba
Tanaecium cyrtanthum
Tanaecium pyramidatum
Tanaecium selloi
Xylophragma harleyi
Zeyheria montana
Zeyheria tuberculosa
Cochlospermum regium
Cochlospermum vitifolium
Cordia alliodora
Cordia blanchetii
Cordia glabrata
Cordia glazioviana
Cordia incognita
Cordia insignis
Cordia latiloba
Cordia magnoliifolia
Cordia ochnacea
Cordia oncocalyx
Cordia rufescens
Cordia sellowiana
Cordia superba
Cordia trichotoma
Euploca barbata
Euploca fruticosa
Euploca lagoensis
Euploca paradoxa
Euploca polyphylla
Euploca procumbens
Euploca rodaliae
Euploca salicoides
Euploca ternata
Heliotropium angiospermum
Heliotropium curassavicum
Heliotropium elongatum
Heliotropium indicum
Heliotropium nicotianaefolium
Heliotropium phylicoides
Heliotropium transalpinum
Myriopus candidulus
Myriopus paniculatus
Myriopus rubicundus
Myriopus salzmannii
Tournefortia andrade-limae
Tournefortia bicolor
Tournefortia membranacea
Tournefortia villosa
Varronia curassavica
Varronia dardani
Varronia globosa
Varronia grandiflora
Varronia guazumifolia
Varronia harleyi
Varronia intonsa
Varronia leucocephala
Varronia leucomalla
Varronia leucomalloides
Varronia mayoi
Varronia multispicata
Varronia polycephala
Varronia tarodaea
Lepidium bonariense
Aechmea aquilega
Aechmea avaldoana
Aechmea bromeliifolia
Aechmea eurycorymbus
Aechmea leptantha
Aechmea lingulata
Aechmea lingulatoides
Aechmea perforata
Aechmea werdermannii
Ananas ananassoides
Billbergia amoena
Billbergia iridifolia
Billbergia porteana
Bromelia antiacantha
Bromelia arenaria
Bromelia auriculata
Bromelia charlesii
Bromelia gurkeniana
Bromelia laciniosa
Canistrum aurantiacum
Canistrum pickelii
Cryptanthus arelii
Cryptanthus bahianus
Cryptanthus crassifolius
Cryptanthus viridovinosus
Dyckia brachystachya
Dyckia hohenbergioides
Dyckia limae
Dyckia pernambucana
Dyckia piauiensis
Dyckia secunda
Dyckia tubifilamentosa
Encholirium erectiflorum
Encholirium spectabile
Encholirium subsecundum
Hohenbergia catingae
Hohenbergia eriantha
Hohenbergia horrida
Hohenbergia lativaginata
Hohenbergia leopoldo-horstii
Hohenbergia ridleyi
Hohenbergia rosea
Hohenbergia utriculosa
Hohenbergia vestita
Neoglaziovia burle-marxii
Neoglaziovia concolor
Neoglaziovia variegata
Orthophytum cearense
Orthophytum conquistense
Orthophytum disjunctum
Orthophytum elegans
Orthophytum glabrum
Orthophytum harleyi
Orthophytum jacaraciense
Orthophytum lemei
Orthophytum maracasense
Orthophytum saxicola
Orthophytum toscanoi
Tillandsia catimbauensis
Tillandsia didisticha
Tillandsia gardneri
Tillandsia geminiflora
Tillandsia juncea
Tillandsia loliacea
Tillandsia mallemontii
Tillandsia paraibensis
Tillandsia parvispica
Tillandsia pohliana
Tillandsia polystachia
Tillandsia recurvata
Tillandsia streptocarpa
Tillandsia stricta
Tillandsia tenuifolia
Tillandsia tricholepis
Tillandsia usneoides
Tillandsia vernicosa
Vriesea baturitensis
Vriesea limae
Wittrockia flavipetala
